403,5,24,4,499,97,119563
268,5,58,17,49,17,2141
637,5,45,11,312,91,22248
366,17,50,2,2400,76,393655
979,5,50,81,3031,699,201030
1137,0,55,6,4500,325,71038
403,5,23,15,1017,226,119563
263,5,00,5,88,12,7120051
700,20,37,0,28,7,1892
249,14,07,0,622,47,2835
923,5,29,23,397,124,60805
806,5,42,117,3360,753,449978
1024,10,55,42,44,0,15839
708,10,23,14,512,64,29360
403,5,02,7,795,179,119563
612,5,54,31,921,78,271
663,5,35,44,3510,453,1007396
663,5,44,978,16100,3463,1007396
21,10,28,45,408,35,113537
794,0,14,47,2365,600,60435
1183,6,20,0,75,12,76211
56,12,29,27,4225,352,198880
1171,14,54,1,202,14,6342
1170,5,25,0,7,1,24016
143,10,04,468,26500,6687,156764
667,5,02,17,945,205,155645
201,17,46,70,7383,457,47883
61,0,00,0,39,1,14652
167,14,14,24,5568,61,4366
670,3,58,61,7137,1453,738781
804,2,56,48,1445,148,143726
1075,0,54,0,46,0,72
61,0,00,6,0,1,14652
600,16,27,51,3513,417,36027
129,20,20,0,176,3,1245
999,10,49,60,3716,1118,53681
542,17,58,2,789,42,183420
1001,10,35,0,201,37,23477
74,19,00,8,78,9,341058
670,3,57,781,25200,4183,738781
204,5,00,1,26,3,72214
700,20,12,2,38,7,1892
774,5,28,1,117,28,166617
699,10,30,7,168,8,5106
840,0,24,521,62100,13100,331630
853,19,11,1,9,2,150
663,5,42,227,9678,4262,1007396
657,10,04,20,757,228,1403057
670,3,08,228,1400,2464,738781
1046,0,00,34,2993,226,322652
366,17,08,3,264,11,393655
576,0,00,96,13700,539,33451
160,10,47,220,9350,1878,109236
1165,5,51,2,193,29,64073
657,10,41,3,390,59,1403057
667,5,59,60,348,8,155645
262,5,01,16,2600,447,559034
806,5,15,159,4350,935,449978
1128,5,03,3,90,7,191
318,5,50,16,149,74,28981
632,5,12,3,286,38,81613
542,17,52,2,6863,134,183420
614,0,49,35,6609,211,156392
1068,20,53,0,24,2,1174
848,19,31,0,14,0,2295
243,5,59,40,108,38,1125
695,0,55,0,0,0,284
207,14,04,3,18,6,6084
657,10,25,16,500,123,1403057
992,0,59,113,27100,1521,885
1155,10,24,12,360,44,42551
939,10,59,449,7453,1001,83052
1061,16,53,0,5,0,553
70,5,00,0,243,22,987927
485,10,27,5,124,29,9405
1056,10,47,72,6497,993,20822
518,17,00,4,439,15,102173
583,10,33,3,257,66,29577
217,14,27,0,95,8,2997
215,17,42,4,417,56,131670
107,10,52,4,249,51,738016
248,14,43,0,5,0,566
707,0,50,1,119,9,104980
657,10,20,11,1053,159,1403057
784,5,45,182,432,304,1692
670,3,03,110,3866,566,738781
832,10,32,164,1200,2747,207678
332,10,59,20,297,56,26378
902,6,00,16,340,70,87682
263,5,05,1080,6083,1097,7120051
948,20,02,62,8257,1406,49788
948,20,51,48,4397,1053,49788
651,5,05,13,1857,190,11894
264,5,24,2,199,54,29446
563,14,00,0,8,0,1892
1053,10,54,45,782,167,52573
293,18,10,204,10900,3686,4003
632,5,23,28,661,158,81613
950,3,27,1,7,0,64
699,10,50,26,1191,58,5106
1071,4,00,3,179,16,4270241
902,6,00,68,502,152,87682
363,0,11,87,11200,1146,287731
1170,5,19,1,8,1,24016
817,5,00,3,170,25,422612
784,5,44,163,374,279,1692
663,5,21,32,1345,124,1007396
215,17,31,10,1183,90,131670
967,20,24,53,842,180,211419
1183,6,23,20,846,182,76211
408,5,00,14,289,51,23043
385,5,00,102,8669,1567,58988
246,10,20,0,6,2,1025
657,10,43,21,792,181,1403057
272,5,14,7,460,34,43844
131,10,30,14,1715,256,21155
516,10,53,0,10,1,165268
